country,date,category,metric,value,unit,source,ingested_at
PL,2026-07-15,macro,fx_eur_pln,4.3258,eur_local,ecb_frankfurter,2026-07-16T06:33:55Z
PL,2026-07-15,macro,fx_eur_yoy,1.6,pct,ecb_frankfurter,2026-07-16T06:33:55Z
CZ,2026-07-15,macro,fx_eur_czk,24.233,eur_local,ecb_frankfurter,2026-07-16T06:33:55Z
CZ,2026-07-15,macro,fx_eur_yoy,-1.7,pct,ecb_frankfurter,2026-07-16T06:33:55Z
HU,2026-07-15,macro,fx_eur_huf,359.65,eur_local,ecb_frankfurter,2026-07-16T06:33:55Z
HU,2026-07-15,macro,fx_eur_yoy,-10.1,pct,ecb_frankfurter,2026-07-16T06:33:55Z
RO,2026-07-15,macro,fx_eur_ron,5.2418,eur_local,ecb_frankfurter,2026-07-16T06:33:55Z
RO,2026-07-15,macro,fx_eur_yoy,3.3,pct,ecb_frankfurter,2026-07-16T06:33:55Z
BA,2026-07-15,macro,fx_eur_bam,1.95583,eur_local,central_bank_peg,2026-07-16T06:33:55Z
BA,2026-07-15,macro,fx_eur_yoy,0.0,pct,central_bank_peg,2026-07-16T06:33:55Z
SK,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
BG,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
HR,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
SI,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
GR,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
LT,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
LV,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
EE,2026-07-15,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-16T06:33:55Z
PL,2025-12-01,macro,cpi_hicp_yoy,2.5,pct,eurostat,2026-07-16T06:33:56Z
CZ,2025-12-01,macro,cpi_hicp_yoy,1.8,pct,eurostat,2026-07-16T06:33:56Z
SK,2025-12-01,macro,cpi_hicp_yoy,4.1,pct,eurostat,2026-07-16T06:33:56Z
HU,2025-12-01,macro,cpi_hicp_yoy,3.3,pct,eurostat,2026-07-16T06:33:56Z
RO,2025-12-01,macro,cpi_hicp_yoy,8.6,pct,eurostat,2026-07-16T06:33:56Z
BG,2025-12-01,macro,cpi_hicp_yoy,3.5,pct,eurostat,2026-07-16T06:33:56Z
HR,2025-12-01,macro,cpi_hicp_yoy,3.8,pct,eurostat,2026-07-16T06:33:56Z
SI,2025-12-01,macro,cpi_hicp_yoy,2.6,pct,eurostat,2026-07-16T06:33:56Z
LT,2025-12-01,macro,cpi_hicp_yoy,3.2,pct,eurostat,2026-07-16T06:33:56Z
LV,2025-12-01,macro,cpi_hicp_yoy,3.4,pct,eurostat,2026-07-16T06:33:56Z
EE,2025-12-01,macro,cpi_hicp_yoy,4.0,pct,eurostat,2026-07-16T06:33:56Z
PL,2026-06-22,macro,fuel_petrol,1.418,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
PL,2026-06-22,macro,fuel_diesel,1.467,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
CZ,2026-06-22,macro,fuel_petrol,1.716,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
CZ,2026-06-22,macro,fuel_diesel,1.584,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
SK,2026-06-22,macro,fuel_petrol,1.6,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
SK,2026-06-22,macro,fuel_diesel,1.55,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
HU,2026-06-22,macro,fuel_petrol,1.55,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
HU,2026-06-22,macro,fuel_diesel,1.6,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
RO,2026-06-22,macro,fuel_petrol,1.5,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
RO,2026-06-22,macro,fuel_diesel,1.55,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
BG,2026-06-22,macro,fuel_petrol,1.53,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
BG,2026-06-22,macro,fuel_diesel,1.706,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
HR,2026-06-22,macro,fuel_petrol,1.63,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
HR,2026-06-22,macro,fuel_diesel,1.6,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
SI,2026-06-22,macro,fuel_petrol,1.58,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
SI,2026-06-22,macro,fuel_diesel,1.56,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
GR,2026-06-22,macro,fuel_petrol,1.79,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
GR,2026-06-22,macro,fuel_diesel,1.68,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
LT,2026-06-22,macro,fuel_petrol,1.56,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
LT,2026-06-22,macro,fuel_diesel,1.52,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
LV,2026-06-22,macro,fuel_petrol,1.61,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
LV,2026-06-22,macro,fuel_diesel,1.55,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
EE,2026-06-22,macro,fuel_petrol,1.64,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
EE,2026-06-22,macro,fuel_diesel,1.57,eur_per_l,eu_oil_bulletin,2026-07-16T06:33:56Z
PL,2026-07-16,weather,temp_mean_fc7,20.3,celsius,open_meteo,2026-07-16T06:33:56Z
PL,2026-07-16,weather,temp_min_fc7,11.5,celsius,open_meteo,2026-07-16T06:33:56Z
PL,2026-07-16,weather,snowfall_fc7,0,cm,open_meteo,2026-07-16T06:33:56Z
PL,2026-07-16,weather,snow_days_fc7,0,days,open_meteo,2026-07-16T06:33:56Z
PL,2026-07-16,weather,precip_fc7,37.8,mm,open_meteo,2026-07-16T06:33:56Z
PL,2026-07-16,weather,temp_anomaly_yoy,0.6,celsius,open_meteo,2026-07-16T06:33:57Z
CZ,2026-07-16,weather,temp_mean_fc7,19.9,celsius,open_meteo,2026-07-16T06:33:58Z
CZ,2026-07-16,weather,temp_min_fc7,10.2,celsius,open_meteo,2026-07-16T06:33:58Z
CZ,2026-07-16,weather,snowfall_fc7,0,cm,open_meteo,2026-07-16T06:33:58Z
CZ,2026-07-16,weather,snow_days_fc7,0,days,open_meteo,2026-07-16T06:33:58Z
CZ,2026-07-16,weather,precip_fc7,32.5,mm,open_meteo,2026-07-16T06:33:58Z
CZ,2026-07-16,weather,temp_anomaly_yoy,0.0,celsius,open_meteo,2026-07-16T06:33:58Z
SK,2026-07-16,weather,temp_mean_fc7,22.8,celsius,open_meteo,2026-07-16T06:33:59Z
SK,2026-07-16,weather,temp_min_fc7,14.2,celsius,open_meteo,2026-07-16T06:33:59Z
SK,2026-07-16,weather,snowfall_fc7,0,cm,open_meteo,2026-07-16T06:33:59Z
SK,2026-07-16,weather,snow_days_fc7,0,days,open_meteo,2026-07-16T06:33:59Z
SK,2026-07-16,weather,precip_fc7,11.3,mm,open_meteo,2026-07-16T06:33:59Z
SK,2026-07-16,weather,temp_anomaly_yoy,0.9,celsius,open_meteo,2026-07-16T06:34:01Z
HU,2026-07-16,weather,temp_mean_fc7,25.9,celsius,open_meteo,2026-07-16T06:34:02Z
HU,2026-07-16,weather,temp_min_fc7,17.1,celsius,open_meteo,2026-07-16T06:34:02Z
