country,date,category,metric,value,unit,source,ingested_at
PL,2025-12-01,macro,cpi_hicp_yoy,2.5,pct,eurostat,2026-07-01T15:00:14Z
CZ,2025-12-01,macro,cpi_hicp_yoy,1.8,pct,eurostat,2026-07-01T15:00:14Z
SK,2025-12-01,macro,cpi_hicp_yoy,4.1,pct,eurostat,2026-07-01T15:00:14Z
HU,2025-12-01,macro,cpi_hicp_yoy,3.3,pct,eurostat,2026-07-01T15:00:14Z
RO,2025-12-01,macro,cpi_hicp_yoy,8.6,pct,eurostat,2026-07-01T15:00:14Z
BG,2025-12-01,macro,cpi_hicp_yoy,3.5,pct,eurostat,2026-07-01T15:00:14Z
HR,2025-12-01,macro,cpi_hicp_yoy,3.8,pct,eurostat,2026-07-01T15:00:14Z
SI,2025-12-01,macro,cpi_hicp_yoy,2.6,pct,eurostat,2026-07-01T15:00:14Z
LT,2025-12-01,macro,cpi_hicp_yoy,3.2,pct,eurostat,2026-07-01T15:00:14Z
LV,2025-12-01,macro,cpi_hicp_yoy,3.4,pct,eurostat,2026-07-01T15:00:14Z
EE,2025-12-01,macro,cpi_hicp_yoy,4.0,pct,eurostat,2026-07-01T15:00:14Z
