country,date,category,metric,value,unit,source,ingested_at
PL,2026-06-01,mobility,tourism_nights,10593235,count,eurostat,2026-08-31T11:37:00Z
CZ,2026-06-01,mobility,tourism_nights,5508708,count,eurostat,2026-08-31T11:37:00Z
SK,2026-06-01,mobility,tourism_nights,1423961,count,eurostat,2026-08-31T11:37:00Z
HU,2026-06-01,mobility,tourism_nights,3227537,count,eurostat,2026-08-31T11:37:00Z
RO,2026-06-01,mobility,tourism_nights,2675630,count,eurostat,2026-08-31T11:37:00Z
BG,2026-06-01,mobility,tourism_nights,3692086,count,eurostat,2026-08-31T11:37:00Z
HR,2026-06-01,mobility,tourism_nights,13465868,count,eurostat,2026-08-31T11:37:00Z
SI,2026-06-01,mobility,tourism_nights,1998423,count,eurostat,2026-08-31T11:37:00Z
LT,2026-06-01,mobility,tourism_nights,948906,count,eurostat,2026-08-31T11:37:00Z
LV,2026-06-01,mobility,tourism_nights,528988,count,eurostat,2026-08-31T11:37:00Z
EE,2026-06-01,mobility,tourism_nights,718385,count,eurostat,2026-08-31T11:37:00Z
PL,2026-Q1-01,mobility,airport_passengers,13442405,count,eurostat,2026-08-31T11:37:01Z
CZ,2026-Q1-01,mobility,airport_passengers,3631263,count,eurostat,2026-08-31T11:37:01Z
SK,2026-Q2-01,mobility,airport_passengers,1494974,count,eurostat,2026-08-31T11:37:01Z
HU,2026-Q1-01,mobility,airport_passengers,4172222,count,eurostat,2026-08-31T11:37:01Z
RO,2025-Q4-01,mobility,airport_passengers,6284826,count,eurostat,2026-08-31T11:37:01Z
BG,2026-Q2-01,mobility,airport_passengers,3248634,count,eurostat,2026-08-31T11:37:01Z
HR,2026-Q1-01,mobility,airport_passengers,1076446,count,eurostat,2026-08-31T11:37:01Z
SI,2026-Q1-01,mobility,airport_passengers,293408,count,eurostat,2026-08-31T11:37:01Z
LT,2026-Q1-01,mobility,airport_passengers,1486373,count,eurostat,2026-08-31T11:37:01Z
LV,2026-Q1-01,mobility,airport_passengers,1410765,count,eurostat,2026-08-31T11:37:01Z
EE,2026-Q1-01,mobility,airport_passengers,722246,count,eurostat,2026-08-31T11:37:01Z
